day,threshold,f2,change_cnt,up_cnt,shake_cnt,down_cnt
3,0.05,398584.8821963227,46636,19906,46699
3,0.1,241573.21919380288,38988,34855,39398
3,0.15000000000000002,255834.16246056784,32334,48368,32539
3,0.2,290636.1915420088,26864,59704,26673
3,0.25,324196.17349852616,22445,69084,21712
3,0.30000000000000004,352575.4472628665,18770,76770,17701
4,0.05,366627.2483424025,45563,21869,45759
4,0.1,225408.52332831649,37208,38444,37539
4,0.15000000000000002,267800.67512285826,30137,52938,30116
4,0.2,305385.35435209563,24518,64742,23931
4,0.25,340489.89024777635,19942,74361,18888
4,0.30000000000000004,370229.52787456446,16316,81951,14924
5,0.05,342678.752627564,44593,23596,44952
5,0.1,234395.06392424626,35589,41612,35940
5,0.15000000000000002,279884.6881235919,28200,56978,27963
5,0.2,319491.0995977251,22503,69011,21627
5,0.25,354789.5060096154,17884,78617,16640
5,0.30000000000000004,385682.4892713982,14289,86129,12723
6,0.05,315963.67762821604,47638,17607,47846
6,0.1,196886.64557326675,41042,31242,40807
6,0.15000000000000002,182245.60317553315,35105,43850,34136
6,0.2,209708.7310903471,29762,55182,28147
6,0.25,234186.31439854193,25101,64946,23044
6,0.30000000000000004,255994.00578955756,21183,73081,18827
7,0.05,301343.71515086555,47117,18659,47265
7,0.1,186477.28916207177,40102,33189,39750
7,0.15000000000000002,188104.8624290163,33882,46405,32754
7,0.2,215978.13243913435,28331,58094,26616
7,0.25,241152.02120702542,23541,68092,21408
7,0.30000000000000004,264017.74843686086,19527,76401,17113
8,0.05,288928.28405324084,46623,19609,46759
8,0.1,177332.06521801287,39184,34975,38832
8,0.15000000000000002,194005.3783620717,32696,48804,31491
8,0.2,222502.93663090983,27002,60819,25170
8,0.25,248568.84697312233,22162,70924,19905
8,0.30000000000000004,271999.07754659175,18116,79207,15668
9,0.05,275892.42416591523,48462,16635,47844
9,0.1,170540.8722914093,41978,29951,41012
9,0.15000000000000002,149568.48442196532,36016,42325,34600
9,0.2,170528.9901055409,30695,53442,28804
9,0.25,189501.64583860358,25960,63263,23718
9,0.30000000000000004,205932.07570295603,22053,71470,19418
10,0.05,266554.5236722219,48085,17341,47465
10,0.1,163812.38437460075,41315,31308,40268
10,0.15000000000000002,152924.29346856225,35128,44141,33622
10,0.2,174528.34403901733,29680,55531,27680
10,0.25,193564.6492388265,24886,65474,22531
10,0.30000000000000004,209958.9523415522,20911,73851,18129
11,0.05,259042.21331627545,47746,17978,47117
11,0.1,157619.94431825157,40689,32578,39574
11,0.15000000000000002,155993.90590106763,34288,45864,32689
11,0.2,178120.04183409066,28729,57483,26629
11,0.25,197680.0118213251,23873,67566,21402
11,0.30000000000000004,214559.8219242531,19929,75908,17004
12,0.05,244467.39247050238,48735,16442,47614
12,0.1,151383.01287771243,42361,29586,40844
12,0.15000000000000002,130359.72203448575,36510,41658,34623
12,0.2,147980.91858817023,31207,52657,28927
12,0.25,165395.4057439271,26611,62468,23712
12,0.30000000000000004,179032.87297505786,22637,70709,19445
13,0.05,238226.57700241645,48453,16967,47321
13,0.1,146823.68715650353,41858,30568,40315
13,0.15000000000000002,132517.14745007816,35775,43063,33903
13,0.2,150862.02859692968,30350,54381,28010
13,0.25,168222.46913851425,25821,64157,22763
13,0.30000000000000004,182731.66963220137,21738,72569,18434
14,0.05,231914.8115942029,48187,17526,46978
14,0.1,142425.58268165268,41362,31585,39744
14,0.15000000000000002,134785.6069671265,35120,44444,33127
14,0.2,153665.39110078893,29663,55902,27126
14,0.25,171459.85148243044,25057,65778,21856
14,0.30000000000000004,185722.5614514019,20920,74188,17583
15,0.05,227860.35448925884,49046,16339,47256
15,0.1,140926.46614167883,42721,29461,40459
15,0.15000000000000002,121574.08674347382,36803,41553,34285
15,0.2,137259.62346625768,31604,52349,28688
15,0.25,151361.04692638502,27061,61862,23718
15,0.30000000000000004,164429.76555984555,23073,70143,19425
16,0.05,222952.20925793366,48841,16764,46986
16,0.1,137270.31127313516,42259,30311,40021
16,0.15000000000000002,123172.91111572454,36239,42634,33718
16,0.2,138685.7760522652,30950,53630,28011
16,0.25,153202.8880577542,26318,63279,22994
16,0.30000000000000004,166224.73142489546,22294,71643,18654
17,0.05,218649.7743532976,48624,17164,46753
17,0.1,134018.59415020273,41846,31078,39617
17,0.15000000000000002,124322.84248411289,35702,43636,33203
17,0.2,140511.76446945337,30325,54848,27368
17,0.25,155547.1434026686,25618,64664,22259
17,0.30000000000000004,168607.4962909253,21567,73045,17929
18,0.05,211035.23938223938,49335,16317,46839
18,0.1,129892.9226519337,42864,29503,40124
18,0.15000000000000002,112520.74116506566,37131,41319,34041
18,0.2,126942.0048649792,31929,52196,28366
18,0.25,139223.47907174792,27223,61783,23485
18,0.30000000000000004,151782.6210355818,23132,70220,19139
19,0.05,207467.2586909614,49125,16684,46632
19,0.1,127073.86042198006,42492,30191,39758
19,0.15000000000000002,113761.82388718285,36662,42238,33541
19,0.2,128102.87294447843,31330,53320,27791
19,0.25,141327.77624309392,26580,63055,22806
19,0.30000000000000004,152991.89906572338,22546,71378,18517
20,0.05,202960.86518561823,48873,17105,46413
20,0.1,124219.71717531311,42119,30899,39373
20,0.15000000000000002,114817.4150366378,36174,43191,33026
20,0.2,129127.97537036357,30771,54417,27203
20,0.25,142260.93124746403,25971,64239,22181
20,0.30000000000000004,154439.57858299368,21935,72545,17911
21,0.05,194626.78126705062,49304,16495,46542
21,0.1,119299.2709444407,43015,29626,39700
21,0.15000000000000002,102899.65369522564,37320,41383,33638
21,0.2,115566.63663567383,32064,52206,28071
