,open,close,high,low,total_turnover,volume,limit_up,limit_down
2008-08-18,3.3178,2.9654,3.4381,2.8708,6670840171.0,1792594164.0,,
2008-08-19,3.0771,3.1803,3.2662,2.9396,2500497187.0,688749395.0,3.2662,2.6731
2008-08-20,3.0599,3.335,3.4639,2.974,2938261883.0,773059666.0,3.4983,2.8622
2008-08-21,3.2404,2.9998,3.2662,2.9998,1732016601.0,480229503.0,3.6702,2.9998
2008-08-22,2.8279,2.7419,2.8622,2.6989,1436116863.0,446439588.0,3.3006,2.6989
2008-08-25,2.7505,2.8107,2.888,2.6817,779910292.0,239680751.0,3.017,2.4669
2008-08-26,2.7505,2.7849,2.8193,2.7161,356507484.0,111003526.0,3.0943,2.527
2008-08-27,2.7505,2.7419,2.8279,2.6216,580214229.0,183802268.0,3.0599,2.5098
2008-08-28,2.6731,2.8279,2.8708,2.6559,695996542.0,215461306.0,3.017,2.4669
2008-08-29,2.845,2.9396,3.017,2.8193,668881348.0,196162498.0,3.1115,2.5442
2008-09-01,2.8966,2.9568,2.9912,2.8708,340116636.0,99631875.0,3.2318,2.6474
2008-09-02,2.931,2.9826,3.0084,2.8966,272407688.0,79156098.0,3.249,2.6645
2008-09-03,2.9654,2.8708,3.017,2.8107,509472981.0,151344471.0,3.2834,2.6817
2008-09-04,2.8708,2.8279,2.9568,2.7419,426912292.0,128856728.0,3.1545,2.5872
2008-09-05,2.7333,2.8193,2.845,2.6989,337765573.0,104068519.0,3.1115,2.5442
2008-09-08,2.845,2.6645,2.8536,2.6474,311156041.0,98189650.0,3.1029,2.5356
2008-09-09,2.6817,2.7419,2.7591,2.6645,174643572.0,55069660.0,2.931,2.3981
2008-09-10,2.7161,2.8708,3.017,2.7075,588983324.0,174396365.0,3.017,2.4669
2008-09-11,2.845,2.9998,3.0513,2.7935,608085636.0,178060095.0,3.1545,2.5872
2008-09-12,2.9912,2.9826,3.0427,2.931,452099813.0,130110656.0,3.3006,2.6989
2008-09-16,2.9826,2.9826,3.0255,2.9052,400759536.0,115279436.0,3.2834,2.6817
2008-09-17,2.9912,2.9052,2.9998,2.8708,456871580.0,133707030.0,3.2834,2.6817
2008-09-18,2.8279,2.9568,2.9998,2.6903,417778951.0,127035916.0,3.1975,2.613
2008-09-19,3.1803,3.249,3.249,3.0943,1465719510.0,390994922.0,3.249,2.6645
2008-09-22,3.292,3.2146,3.5585,3.0771,2280334781.0,593424958.0,3.5756,2.9224
2008-09-23,3.0255,2.9482,3.1115,2.8966,902099283.0,260083463.0,3.5327,2.8966
2008-09-24,2.8794,3.017,3.0255,2.845,351350848.0,101879709.0,3.2404,2.6559
2008-09-25,2.9998,3.0685,3.1975,2.9568,720333825.0,199066762.0,3.3178,2.7161
2008-09-26,3.0943,3.0084,3.1115,2.9138,623349713.0,179395132.0,3.378,2.7591
2008-10-06,2.9654,3.0427,3.1373,2.931,507372363.0,142255988.0,3.3092,2.7075
2008-10-07,2.9224,3.1029,3.1201,2.9224,393600818.0,110632060.0,3.3436,2.7419
2008-10-08,3.0427,3.0685,3.1287,3.0255,352427656.0,98440781.0,3.4123,2.7935
2008-10-09,3.1115,3.0685,3.1373,3.0513,305177691.0,84708149.0,3.378,2.7591
2008-10-10,2.974,3.0427,3.0771,2.9396,274084916.0,77698526.0,3.378,2.7591
2008-10-13,3.017,3.2146,3.2318,2.9998,422510170.0,116467701.0,3.3436,2.7419
2008-10-14,3.3006,3.0943,3.3092,3.0857,537076820.0,145057675.0,3.5327,2.8966
2008-10-15,3.0943,3.1029,3.1459,3.0427,221586494.0,61420606.0,3.4037,2.7849
2008-10-16,3.0427,3.0513,3.1115,3.017,205511411.0,57509555.0,3.4123,2.7935
2008-10-17,3.0685,3.0685,3.0943,3.017,158231553.0,44497548.0,3.3608,2.7505
2008-10-20,3.0857,3.1373,3.1803,3.0255,238708458.0,66117489.0,3.378,2.7591
2008-10-21,3.1631,3.0857,3.1631,3.0341,438412038.0,122155479.0,3.4553,2.8279
2008-10-22,3.0427,2.9224,3.0427,2.8794,578615086.0,169296044.0,3.3951,2.7763
2008-10-23,2.8365,2.9396,2.9568,2.7935,227211750.0,67083546.0,3.2146,2.6302
2008-10-24,2.9396,2.9826,3.0341,2.9052,285568397.0,82454381.0,3.2318,2.6474
2008-10-27,2.9826,2.845,3.0513,2.8279,501090148.0,146378279.0,3.2834,2.6817
2008-10-28,2.7505,2.9568,2.974,2.7505,369735393.0,110020864.0,3.1287,2.5614
2008-10-29,2.9826,2.9224,2.9998,2.9138,238126365.0,69304132.0,3.249,2.6645
2008-10-30,2.9568,3.0427,3.1201,2.9138,432493315.0,122748520.0,3.2146,2.6302
2008-10-31,3.0084,2.9998,3.0513,2.9912,181423107.0,51745080.0,3.3436,2.7419
2008-11-03,2.9912,3.0255,3.0599,2.9826,113519628.0,32218945.0,3.3006,2.6989
2008-11-04,3.0255,2.9224,3.0255,2.9052,195821291.0,57162241.0,3.3264,2.7247
2008-11-05,2.974,3.0255,3.0771,2.931,361283438.0,103081681.0,3.2146,2.6302
2008-11-06,2.9654,2.9654,3.0084,2.9138,179418864.0,52125109.0,3.3264,2.7247
2008-11-07,2.9224,2.9998,3.0513,2.9224,228322096.0,65200489.0,3.2662,2.6731
2008-11-10,3.0943,3.3006,3.3006,3.0513,1297482861.0,343643001.0,3.3006,2.6989
2008-11-11,3.249,3.1803,3.3006,3.1717,743918297.0,197491776.0,3.6272,2.974
2008-11-12,3.1201,3.1631,3.206,3.0771,655891931.0,180053278.0,3.4983,2.8622
2008-11-13,3.1803,3.4811,3.4811,3.1803,1561857169.0,395854315.0,3.4811,2.845
2008-11-14,3.4811,3.4811,3.4811,3.4811,0.0,0.0,,
2008-11-17,3.6358,3.8335,3.8335,3.5671,3424669935.0,788130506.0,3.8335,3.1373
2008-11-18,3.7304,3.9968,4.2203,3.7304,5950857028.0,1284802638.0,4.2203,3.4467
2008-11-19,3.9796,3.9538,4.1,3.6444,3184222075.0,707541023.0,4.4008,3.6014
2008-11-20,3.8249,3.7733,3.9882,3.653,1980839067.0,448476041.0,4.3492,3.5585
2008-11-21,3.6358,3.8593,4.0312,3.6186,2279805842.0,510029138.0,4.1515,3.3951
2008-11-24,3.8163,3.5499,3.8421,3.5327,1707295762.0,402048838.0,4.2461,3.4725
2008-11-25,3.61,3.5499,3.6702,3.4811,1127751395.0,272602841.0,3.9023,3.1975
2008-11-26,3.5671,3.6358,3.653,3.5241,726108575.0,173210080.0,3.9023,3.1975
2008-11-27,3.8421,3.6014,3.8507,3.5756,1771391082.0,411642945.0,3.9968,3.2748
2008-11-28,3.5671,3.5499,3.6788,3.5241,794370668.0,190003109.0,3.9624,3.2404
2008-12-01,3.5327,3.5928,3.61,3.4553,664780590.0,161047418.0,3.9023,3.1975
2008-12-02,3.5155,3.6358,3.7218,3.4811,803764245.0,189786399.0,3.9538,3.2318
2008-12-03,3.6702,3.8937,3.9109,3.6702,1537159123.0,349056449.0,3.9968,3.2748
2008-12-04,3.9366,3.8077,3.971,3.7819,1547543752.0,342208006.0,4.2805,3.5069
2008-12-05,3.7733,3.8163,3.8421,3.739,666049100.0,150978196.0,4.1859,3.4295
2008-12-08,3.9366,3.9796,4.014,3.8765,1364030698.0,297542691.0,4.1945,3.4381
2008-12-09,3.9538,3.8163,3.971,3.8077,890626933.0,196912057.0,4.375,3.5842
2008-12-10,3.7819,3.8335,3.8679,3.7476,617576801.0,139149403.0,4.1945,3.4381
2008-12-11,3.8679,3.7132,3.8851,3.7046,741313460.0,168544335.0,4.2203,3.4467
2008-12-12,3.6616,3.61,3.696,3.5585,674256979.0,160834335.0,4.0828,3.3436
2008-12-15,3.6444,3.6186,3.6788,3.5756,378542075.0,89852636.0,3.971,3.249
2008-12-16,3.5928,3.6874,3.696,3.5756,391561383.0,92463639.0,3.9796,3.2576
2008-12-17,3.7046,3.6616,3.7561,3.6444,430364437.0,99889423.0,4.057,3.3178
2008-12-18,3.6874,3.7647,3.7647,3.653,453423665.0,104505735.0,4.0312,3.292
2008-12-19,3.7476,3.7561,3.8163,3.7304,380015233.0,86526778.0,4.1429,3.3865
2008-12-22,3.7733,3.696,3.7819,3.6702,324630997.0,75235148.0,4.1343,3.378
2008-12-23,3.696,3.5499,3.7132,3.5499,484013930.0,115809951.0,4.0656,3.3264
2008-12-24,3.4897,3.61,3.61,3.4725,354136829.0,85054524.0,3.9023,3.1975
2008-12-25,3.6014,3.6358,3.6788,3.5756,226425609.0,53689759.0,3.971,3.249
2008-12-26,3.6358,3.6014,3.653,3.5756,171742391.0,40893209.0,3.9968,3.2748
2008-12-29,3.5842,3.7561,3.8249,3.5671,559950204.0,129066647.0,3.9624,3.2404
2008-12-30,3.739,3.739,3.7733,3.6702,288988302.0,66769491.0,4.1343,3.378
2008-12-31,3.739,3.7046,3.7905,3.696,433906739.0,99160430.0,4.1172,3.3608
2009-01-05,3.7647,3.8765,3.8851,3.7304,511095172.0,114654295.0,4.0742,3.335
2009-01-06,3.8679,3.9023,3.9281,3.7905,678048725.0,150806114.0,4.2633,3.4897
2009-01-07,3.8937,3.7733,3.9109,3.7476,607041264.0,136807904.0,4.2891,3.5155
2009-01-08,3.6788,3.653,3.739,3.61,435069536.0,102046830.0,4.1515,3.3951
2009-01-09,3.653,3.7132,3.7132,3.653,207877957.0,48490661.0,4.0226,3.292
2009-01-12,3.7132,3.6874,3.7304,3.6358,266803446.0,62319144.0,4.0828,3.3436
2009-01-13,3.6358,3.653,3.7132,3.61,177006130.0,41428761.0,4.057,3.3178
2009-01-14,3.6444,3.7819,3.7905,3.6444,388579530.0,89385865.0,4.0226,3.292
2009-01-15,3.739,3.8077,3.8593,3.7218,483959174.0,110069625.0,4.1601,3.4037
2009-01-16,3.7991,3.8335,3.8679,3.7819,747038439.0,167592599.0,4.1859,3.4295
2009-01-19,3.8593,3.7647,3.9109,3.7218,592058425.0,133340692.0,4.2203,3.4467
2009-01-20,3.7647,3.7819,3.8077,3.6874,364915173.0,83808902.0,4.1429,3.3865
2009-01-21,3.7218,3.7218,3.7733,3.6788,322830218.0,74499400.0,4.1601,3.4037
2009-01-22,3.7476,3.7304,3.7561,3.696,233946209.0,54024784.0,4.0914,3.3522
2009-01-23,3.7304,3.696,3.7304,3.6272,406122744.0,94889875.0,4.1,3.3608
2009-02-02,3.739,3.739,3.7819,3.6874,343360711.0,79282919.0,4.0656,3.3264
2009-02-03,3.7476,4.1172,4.1172,3.7046,1956015622.0,423438448.0,4.1172,3.3608
2009-02-04,4.0828,4.1172,4.1687,4.0226,1497405268.0,315132004.0,4.5297,3.7046
2009-02-05,4.1257,3.9968,4.1429,3.9624,1392278040.0,294809926.0,4.5297,3.7046
2009-02-06,4.0054,4.1086,4.1687,4.0054,1153932990.0,242018950.0,4.4008,3.6014
2009-02-09,4.1429,4.2117,4.3406,4.057,1703232017.0,350194277.0,4.5211,3.696
2009-02-10,4.1687,4.1945,4.3062,4.0828,1384137786.0,285150674.0,4.6329,3.7905
2009-02-11,4.0914,4.1086,4.2633,4.057,1272196582.0,264322582.0,4.6157,3.7733
2009-02-12,4.1257,4.1086,4.1687,4.0226,755383934.0,158973378.0,4.5211,3.696
2009-02-13,4.1429,4.3578,4.4266,4.1343,1982082130.0,395262558.0,4.5211,3.696
2009-02-16,4.4008,4.3664,4.4266,4.2289,1386506072.0,276119495.0,4.7962,3.9195
2009-02-17,4.3492,4.1859,4.4008,4.1773,1113639821.0,223383907.0,4.8048,3.9281
2009-02-18,4.0914,3.9882,4.1601,3.9796,1147081256.0,243165696.0,4.6071,3.7647
2009-02-19,4.0054,4.0312,4.0914,3.9624,603742760.0,129014300.0,4.3836,3.5928
2009-02-20,4.0398,4.0742,4.0828,3.971,577084515.0,123082820.0,4.4352,3.6272
2009-02-23,4.0914,4.1429,4.1687,4.0398,935521648.0,195969550.0,4.4782,3.6702
2009-02-24,4.0656,3.9023,4.1257,3.8765,1078304762.0,232320141.0,4.5555,3.7304
2009-02-25,3.9366,3.9023,3.971,3.8077,632806893.0,140453134.0,4.2891,3.5155
2009-02-26,3.9109,3.8249,4.0054,3.7218,690139214.0,152022008.0,4.2891,3.5155
2009-02-27,3.7819,3.8077,3.8851,3.739,542743269.0,122961058.0,4.2117,3.4467
2009-03-02,3.7905,3.8335,3.8421,3.7647,334709371.0,75317367.0,4.1859,3.4295
2009-03-03,3.7647,3.7733,3.8335,3.739,481029999.0,109713786.0,4.2203,3.4467
2009-03-04,3.7819,3.9452,3.9796,3.7819,919155874.0,203422765.0,4.1515,3.3951
2009-03-05,3.9796,3.9109,3.9968,3.8593,872042765.0,191159215.0,4.3406,3.5499
2009-03-06,3.8335,3.8249,3.8765,3.7991,428752756.0,96117568.0,4.3062,3.5241
