,open,close,high,low,total_turnover,volume,settlement,prev_settlement,open_interest,basis_spread,limit_up,limit_down
2012-05-10,6214.0,6151.0,6214.0,6125.0,4434420.0,48.0,6158.0,,24.0,,,
2012-05-11,6108.0,6086.0,6114.0,6086.0,7503180.0,82.0,6100.0,6158.0,64.0,,6465.0,5850.0
2012-05-14,6090.0,6066.0,6090.0,6066.0,729240.0,8.0,6077.0,6100.0,66.0,,6405.0,5795.0
2012-05-15,5968.0,5802.0,5968.0,5802.0,5619030.0,64.0,5853.0,6077.0,90.0,,6380.0,5773.0
2012-05-16,5764.0,5750.0,5801.0,5750.0,1382610.0,16.0,5760.0,5853.0,96.0,,6145.0,5560.0
2012-05-17,5803.0,5853.0,5857.0,5803.0,4039590.0,46.0,5854.0,5760.0,96.0,,6048.0,5472.0
2012-05-18,5896.0,5921.0,6033.0,5896.0,1603980.0,18.0,5940.0,5854.0,98.0,,6146.0,5561.0
2012-05-21,6006.0,5999.0,6036.0,5994.0,721050.0,8.0,6008.0,5940.0,98.0,,6237.0,5643.0
2012-05-22,5981.0,5966.0,5981.0,5966.0,716520.0,8.0,5971.0,6008.0,96.0,,6308.0,5707.0
2012-05-23,5843.0,5843.0,5843.0,5843.0,175290.0,2.0,5843.0,5971.0,96.0,,6269.0,5672.0
2012-05-24,5880.0,5879.0,5880.0,5879.0,352770.0,4.0,5879.0,5843.0,96.0,,6135.0,5550.0
2012-05-25,5896.0,5896.0,5896.0,5896.0,176880.0,2.0,5896.0,5879.0,96.0,,6172.0,5585.0
2012-05-28,6009.0,6066.0,6066.0,6000.0,1442880.0,16.0,6012.0,5896.0,98.0,,6190.0,5601.0
2012-05-29,6041.0,6041.0,6041.0,6041.0,0.0,0.0,6041.0,6012.0,98.0,,6312.0,5711.0
2012-05-30,5923.0,5923.0,5923.0,5923.0,177690.0,2.0,5923.0,6041.0,98.0,,6343.0,5738.0
2012-05-31,5953.0,5953.0,5953.0,5953.0,0.0,0.0,5953.0,5923.0,98.0,,6219.0,5626.0
2012-06-01,5911.0,5911.0,5911.0,5911.0,0.0,0.0,5911.0,5953.0,98.0,,6250.0,5655.0
2012-06-04,5975.0,5975.0,5975.0,5975.0,0.0,0.0,5975.0,5911.0,98.0,,6206.0,5615.0
2012-06-05,6060.0,6038.0,6060.0,6038.0,362940.0,4.0,6049.0,5975.0,96.0,,6273.0,5676.0
2012-06-06,6079.0,6180.0,6180.0,6079.0,552690.0,6.0,6141.0,6049.0,96.0,,6351.0,5746.0
2012-06-07,6224.0,6224.0,6224.0,6224.0,186720.0,2.0,6224.0,6141.0,96.0,,6448.0,5833.0
2012-06-08,6008.0,6032.0,6032.0,6008.0,361200.0,4.0,6020.0,6224.0,96.0,,6535.0,5912.0
2012-06-11,6119.0,6119.0,6119.0,6119.0,183570.0,2.0,6119.0,6020.0,94.0,,6321.0,5719.0
2012-06-12,6055.0,6055.0,6055.0,6055.0,0.0,0.0,6055.0,6119.0,94.0,,6424.0,5813.0
2012-06-13,6160.0,6160.0,6160.0,6160.0,369600.0,4.0,6160.0,6055.0,94.0,,6357.0,5752.0
2012-06-14,6170.0,6184.0,6184.0,6170.0,555720.0,6.0,6174.0,6160.0,96.0,,6468.0,5852.0
2012-06-15,6158.0,6158.0,6158.0,6158.0,0.0,0.0,6158.0,6174.0,96.0,,6482.0,5865.0
2012-06-18,6126.0,6126.0,6126.0,6126.0,0.0,0.0,6126.0,6158.0,96.0,,6465.0,5850.0
2012-06-19,6133.0,6133.0,6133.0,6133.0,0.0,0.0,6133.0,6126.0,96.0,,6432.0,5819.0
2012-06-20,6104.0,6104.0,6104.0,6104.0,0.0,0.0,6104.0,6133.0,96.0,,6439.0,5826.0
2012-06-21,6010.0,6013.0,6014.0,6010.0,721500.0,8.0,6012.0,6104.0,100.0,,6409.0,5798.0
2012-06-25,5834.0,5834.0,5834.0,5834.0,0.0,0.0,5834.0,6012.0,100.0,,6312.0,5711.0
2012-06-26,5907.0,5907.0,5907.0,5907.0,0.0,0.0,5907.0,5834.0,100.0,,6125.0,5542.0
2012-06-27,5859.0,5859.0,5859.0,5859.0,0.0,0.0,5859.0,5907.0,100.0,,6202.0,5611.0
2012-06-28,5859.0,5855.0,5859.0,5855.0,702720.0,8.0,5856.0,5859.0,108.0,,6151.0,5566.0
2012-06-29,5750.0,5871.0,5871.0,5750.0,696150.0,8.0,5801.0,5856.0,108.0,,6148.0,5563.0
2012-07-02,5895.0,5887.0,5895.0,5887.0,707130.0,8.0,5892.0,5801.0,100.0,,6091.0,5510.0
2012-07-03,5960.0,5960.0,5960.0,5960.0,536400.0,6.0,5960.0,5892.0,94.0,,6186.0,5597.0
2012-07-04,6037.0,6037.0,6037.0,6037.0,0.0,0.0,6037.0,5960.0,94.0,,6258.0,5662.0
2012-07-05,6081.0,6081.0,6081.0,6081.0,0.0,0.0,6081.0,6037.0,94.0,,6338.0,5735.0
2012-07-06,6015.0,6015.0,6015.0,6015.0,0.0,0.0,6015.0,6081.0,94.0,,6385.0,5776.0
2012-07-09,5921.0,5921.0,5921.0,5921.0,0.0,0.0,5921.0,6015.0,94.0,,6315.0,5714.0
2012-07-10,5923.0,5923.0,5923.0,5923.0,0.0,0.0,5923.0,5921.0,94.0,,6217.0,5624.0
2012-07-11,5893.0,5893.0,5893.0,5893.0,0.0,0.0,5893.0,5923.0,94.0,,6219.0,5626.0
2012-07-12,5873.0,5873.0,5873.0,5873.0,0.0,0.0,5873.0,5893.0,94.0,,6187.0,5598.0
2012-07-13,5911.0,5911.0,5911.0,5911.0,177330.0,2.0,5911.0,5873.0,96.0,,6166.0,5579.0
2012-07-16,5937.0,5937.0,5937.0,5937.0,0.0,0.0,5937.0,5911.0,96.0,,6206.0,5615.0
2012-07-17,5941.0,5941.0,5941.0,5941.0,178230.0,2.0,5941.0,5937.0,94.0,,6233.0,5640.0
2012-07-18,5874.0,5874.0,5874.0,5874.0,176220.0,2.0,5874.0,5941.0,92.0,,6238.0,5643.0
2012-07-19,6000.0,6000.0,6000.0,6000.0,0.0,0.0,6000.0,5874.0,92.0,,6167.0,5580.0
2012-07-20,5874.0,5873.0,5874.0,5873.0,704820.0,8.0,5873.0,6000.0,92.0,,6300.0,5700.0
2012-07-23,5857.0,5857.0,5857.0,5857.0,351420.0,4.0,5857.0,5873.0,92.0,,6166.0,5579.0
