,open,close,high,low,total_turnover,volume,settlement,prev_settlement,open_interest,basis_spread,limit_up,limit_down
2017-09-18,4117.0,4119.0,4119.0,4117.0,247080.0,4.0,4118.0,4118.0,4.0,,4529.0,3706.0
2017-09-19,4119.0,4118.0,4119.0,4119.0,0.0,0.0,4118.0,4118.0,4.0,,4323.0,3912.0
2017-09-20,4118.0,4118.0,4118.0,4118.0,0.0,0.0,4118.0,4118.0,4.0,,4323.0,3912.0
2017-09-21,4075.0,4040.0,4075.0,4040.0,243450.0,4.0,4057.0,4118.0,8.0,,4323.0,3912.0
2017-09-22,4020.0,4008.0,4020.0,4008.0,361200.0,6.0,4013.0,4057.0,10.0,,4259.0,3854.0
2017-09-25,4008.0,4013.0,4008.0,4008.0,0.0,0.0,4013.0,4013.0,10.0,,4213.0,3812.0
2017-09-26,4060.0,4060.0,4060.0,4060.0,365400.0,6.0,4060.0,4013.0,10.0,,4213.0,3812.0
2017-09-27,4051.0,4011.0,4051.0,4011.0,2546100.0,42.0,4041.0,4060.0,44.0,,4263.0,3857.0
2017-09-28,4022.0,4009.0,4022.0,4009.0,722370.0,12.0,4013.0,4041.0,42.0,,4243.0,3838.0
2017-09-29,4014.0,4018.0,4020.0,3979.0,1917390.0,32.0,3994.0,4013.0,34.0,,4293.0,3732.0
2017-10-09,4058.0,4050.0,4058.0,4050.0,364890.0,6.0,4054.0,3994.0,38.0,,4273.0,3714.0
2017-10-10,4044.0,4040.0,4047.0,4040.0,606510.0,10.0,4043.0,4054.0,40.0,,4256.0,3851.0
2017-10-11,4061.0,4052.0,4061.0,4052.0,730200.0,12.0,4056.0,4043.0,44.0,,4245.0,3840.0
