,open,close,high,low,total_turnover,volume,limit_up,limit_down
2005-01-04,3.372,3.3149,3.372,3.2348,16427645.0,4061885.0,3.7172,3.0405
2005-01-05,3.3057,3.4086,3.4292,3.292,20505589.0,4978727.0,3.6463,2.9834
2005-01-06,3.3377,3.4132,3.4223,3.3377,17029966.0,4113000.0,3.7492,3.068
2005-01-07,3.4406,3.3812,3.4657,3.3743,25324245.0,6075603.0,3.7538,3.0725
2005-01-10,3.3834,3.4223,3.436,3.3606,15237396.0,3664636.0,3.7195,3.0428
2005-01-11,3.4315,3.4406,3.4749,3.4109,25793650.0,6134691.0,3.7652,3.0794
2005-01-12,3.4635,3.4063,3.4635,3.4017,17057232.0,4095096.0,3.7858,3.0977
2005-01-13,3.4269,3.4292,3.4749,3.388,22353826.0,5323853.0,3.7469,3.0657
2005-01-14,3.4292,3.3492,3.4497,3.3377,19931107.0,4833201.0,3.7721,3.0863
2005-01-17,3.3034,3.26,3.3377,3.2463,28220945.0,7041181.0,3.6852,3.0154
2005-01-18,3.2691,3.3286,3.3332,3.2691,13084634.0,3254693.0,3.5869,2.9331
2005-01-19,3.3149,3.2806,3.3149,3.2691,9727513.0,2429751.0,3.6624,2.9948
2005-01-20,3.2806,3.228,3.2989,3.2234,21236914.0,5350942.0,3.6098,2.9537
2005-01-21,3.2257,3.2577,3.2691,2.9674,49293380.0,12772964.0,3.5503,2.9056
2005-01-24,3.3263,3.3149,3.3606,3.2714,24866416.0,6155253.0,3.5846,2.9331
2005-01-25,3.3194,3.2691,3.3194,3.212,20304018.0,5107511.0,3.6463,2.9834
2005-01-26,3.2577,3.1548,3.2577,3.1411,29843209.0,7714588.0,3.5961,2.9422
2005-01-27,3.132,3.0428,3.132,3.0405,28018336.0,7476133.0,3.4703,2.8394
2005-01-28,3.036,3.0474,3.0794,3.0131,14891533.0,4016368.0,3.3469,2.7388
2005-01-31,3.0474,2.9491,3.0474,2.9399,25241850.0,6983622.0,3.3514,2.7433
2005-02-01,2.9377,2.9628,2.9971,2.9377,13868135.0,3822845.0,3.244,2.6542
2005-02-02,2.9765,3.1388,3.1548,2.9719,23890194.0,6372410.0,3.26,2.6656
2005-02-03,3.1388,3.0451,3.1503,3.0428,20039546.0,5314718.0,3.452,2.8256
2005-02-04,3.052,3.1045,3.132,3.0428,13649405.0,3621828.0,3.3492,2.741
2005-02-16,3.1205,3.1205,3.1777,3.1091,11881808.0,3100018.0,3.4155,2.7936
2005-02-17,3.1091,3.1686,3.1891,3.0657,17773052.0,4658469.0,3.4337,2.8096
2005-02-18,3.1594,3.1091,3.1594,3.1068,8570181.0,2251154.0,3.4863,2.8508
2005-02-21,3.1045,3.1388,3.1571,3.0977,8582932.0,2246149.0,3.42,2.7982
2005-02-22,3.1411,3.196,3.2006,3.1274,27688763.0,7143923.0,3.452,2.8256
2005-02-23,3.2028,3.1914,3.2234,3.1594,34566883.0,8862579.0,3.516,2.8759
2005-02-24,3.1846,3.1983,3.2577,3.1731,25913879.0,6626017.0,3.5115,2.8714
2005-02-25,3.2006,3.2006,3.2463,3.18,28776808.0,7363986.0,3.5183,2.8782
2005-02-28,3.1983,3.1365,3.1983,3.1274,25572022.0,6645511.0,3.5206,2.8805
2005-03-01,3.1297,3.1365,3.1937,3.1228,15776702.0,4113678.0,3.4497,2.8233
2005-03-02,3.1434,3.0885,3.1754,3.0817,19228023.0,5052837.0,3.4497,2.8233
2005-03-03,3.0885,3.1137,3.116,3.0725,14432631.0,3824916.0,3.3972,2.7799
2005-03-04,3.1137,3.116,3.1274,3.1,10807760.0,2848937.0,3.4246,2.8028
2005-03-07,3.116,3.1068,3.132,3.0748,14745072.0,3910285.0,3.4269,2.8051
2005-03-08,3.1114,3.1777,3.1868,3.052,39890835.0,10523504.0,3.4177,2.7959
2005-03-09,3.1868,3.1708,3.1937,3.1434,25034741.0,6493745.0,3.4955,2.8599
2005-03-10,3.1891,3.0908,3.1937,3.0794,19871814.0,5199708.0,3.4886,2.8531
2005-03-11,3.0863,3.0771,3.1068,3.0588,21191984.0,5643580.0,3.3994,2.7822
2005-03-14,3.0771,3.052,3.1068,3.0177,22673674.0,6103443.0,3.3857,2.7685
2005-03-15,3.0634,3.0177,3.0702,3.0131,18189679.0,4928613.0,3.3583,2.7479
2005-03-16,3.0177,3.0337,3.0748,3.0062,12912459.0,3486011.0,3.3194,2.7159
2005-03-17,3.052,3.0291,3.084,3.0177,17363284.0,4647422.0,3.3377,2.7296
2005-03-18,3.0177,2.9742,3.0611,2.9422,21546060.0,5940494.0,3.3332,2.7273
2005-03-21,2.9719,2.9537,2.9719,2.9148,14221859.0,3970574.0,3.2714,2.677
2005-03-22,2.9605,2.8165,2.9948,2.8165,28612089.0,8151624.0,3.2486,2.6587
2005-03-23,2.8005,2.549,2.8119,2.5353,93760671.0,29785577.0,3.0977,2.5353
2005-03-24,2.5262,2.5582,2.5604,2.4279,44670724.0,14686782.0,2.8051,2.2953
2005-03-25,2.549,2.501,2.5719,2.4919,23900864.0,7755735.0,2.8142,2.3021
2005-03-28,2.4781,2.4507,2.4804,2.3593,34330038.0,11693026.0,2.7502,2.2518
2005-03-29,2.4416,2.4027,2.4644,2.4004,17521914.0,5905974.0,2.6953,2.2061
2005-03-30,2.4141,2.4393,2.4873,2.3798,37876401.0,12653606.0,2.6427,2.1627
2005-03-31,2.469,2.5284,2.5627,2.469,42447441.0,13833835.0,2.6839,2.1947
2005-04-01,2.517,2.6153,2.6702,2.4599,45394360.0,14585912.0,2.7822,2.2747
2005-04-04,2.5627,2.517,2.5833,2.5147,26981832.0,8697068.0,2.8759,2.3547
2005-04-05,2.5147,2.4324,2.5262,2.4256,20047411.0,6654825.0,2.7685,2.2655
2005-04-06,2.4233,2.4713,2.4827,2.373,22918692.0,7744332.0,2.6748,2.1901
2005-04-07,2.5033,2.5193,2.5787,2.469,36737355.0,11876090.0,2.7182,2.2244
2005-04-08,2.5193,2.5559,2.5559,2.4919,25152564.0,8129891.0,2.7708,2.2678
2005-04-11,2.5833,2.613,2.6633,2.5513,42263988.0,13281861.0,2.8119,2.2998
2005-04-12,2.6062,2.5033,2.6062,2.4987,21508107.0,6937613.0,2.8736,2.3524
2005-04-13,2.5284,2.5582,2.6062,2.517,22919299.0,7342304.0,2.7548,2.2541
